Cats,Dogs,Guinea Pigs,Hamsters,MarineMammals,NonhumanPrimates,Other FarmAnimals,Pig,Rabbits,Sheep,Total,State,Year,date_year
0,0,0,0,0.0,0,0,0,0,0,0,AK,2008,2008-01-01
0,0,0,0,0.0,15,0,0,23,0,38,AL,2008,2008-01-01
0,0,0,0,0.0,0,0,0,0,0,0,AR,2008,2008-01-01
0,0,0,0,0.0,0,0,56,0,0,56,AZ,2008,2008-01-01
0,90,1509,38,0.0,40,0,54,465,14,2379,CA,2008,2008-01-01
0,1,1173,541,0.0,0,0,3,0,21,1898,CO,2008,2008-01-01
0,17,90,0,0.0,13,0,0,0,0,126,CT,2008,2008-01-01
0,0,164,0,0.0,4,0,0,0,0,229,DC,2008,2008-01-01
0,37,1278,250,0.0,0,0,0,985,0,2604,DE,2008,2008-01-01
0,0,0,102,0.0,4,15,0,90,0,211,FL,2008,2008-01-01
20,0,88,1990,0.0,22,52,6,2356,10,4806,GA,2008,2008-01-01
0,0,0,0,0.0,0,0,0,0,0,0,HI,2008,2008-01-01
404,239,154,14062,0.0,0,0,0,47,0,14906,IA,2008,2008-01-01
0,0,0,0,0.0,0,0,0,2,0,2,ID,2008,2008-01-01
0,0,88,20,0.0,6,0,64,91,0,280,IL,2008,2008-01-01
0,4,108,11,0.0,3,0,0,1,0,312,IN,2008,2008-01-01
0,10,0,500,0.0,0,0,0,4,0,514,KS,2008,2008-01-01
0,0,0,0,0.0,0,0,0,0,0,0,KY,2008,2008-01-01
0,0,0,0,0.0,9,38,0,12,0,145,LA,2008,2008-01-01
0,63,646,532,0.0,16,4,187,502,0,2647,MA,2008,2008-01-01
0,3,7206,1169,0.0,330,0,144,651,0,9650,MD,2008,2008-01-01
0,0,0,0,0.0,0,0,0,0,0,8,ME,2008,2008-01-01
0,0,6394,0,0.0,42,0,0,0,42,6478,MI,2008,2008-01-01
0,20,87,0,0.0,0,0,0,6,0,330,MN,2008,2008-01-01
0,0,0,1799,0.0,0,0,0,0,0,1810,MO,2008,2008-01-01
0,0,0,0,0.0,0,0,0,0,0,0,MS,2008,2008-01-01
0,0,0,0,0.0,0,0,0,0,0,0,MT,2008,2008-01-01
0,0,326,0,0.0,13,0,36,19,0,394,NC,2008,2008-01-01
0,0,0,0,0.0,0,0,0,0,0,0,ND,2008,2008-01-01
1,1,20,977,0.0,0,0,0,0,0,1077,NE,2008,2008-01-01
0,0,0,0,0.0,0,0,0,0,0,0,NH,2008,2008-01-01
0,323,1428,485,0.0,92,0,0,141,0,3161,NJ,2008,2008-01-01
0,0,0,0,0.0,187,0,0,185,0,631,NM,2008,2008-01-01
