State,All_Other_Covered_Species,Cats,Dogs,Other_Farm_Animals,Pig,Rabbits,Sheep,Hamsters,Nonhuman_Primates,Guinea_Pigs,Total
AK,25,0,0,0,0,0,0,0,0,0,25
AL,730,132,141,39,"1,249",23,3,0,0,0,"2,317"
AR,5,25,94,0,0,40,0,1,56,0,221
AZ,81,2,9,0,29,4,19,0,6,0,150
CA,"4,781",138,161,692,47,"2,455",57,207,"3,596",104,"12,238"
CO,827,15,19,3,4,0,51,16,0,44,979
CT,125,2,0,0,0,2,0,0,16,1,146
DC,0,18,0,0,5,8,0,37,361,142,571
DE,0,0,0,140,0,"3,960",54,0,0,0,"4,154"
FL,832,30,14,0,5,0,4,66,"3,923",1,"4,875"
GA,787,11,0,0,0,7,0,12,"1,880",0,"2,697"
IA,291,0,2,122,"2,444",3,1,82,0,0,"2,945"
ID,282,2,1,0,0,7,0,0,0,0,292
IL,375,26,99,18,14,107,11,0,126,15,791
IN,256,17,70,0,2,14,0,328,89,68,844
KS,3,47,114,0,15,7,0,1,10,12,209
KY,171,11,0,86,174,3,49,0,0,0,494
LA,32,31,19,63,0,8,3,0,"9,741",0,"9,897"
MA,"4,195",0,263,850,200,760,13,359,"1,161",199,"8,000"
MD,"4,838",2,0,8,19,43,1,750,"4,702",558,"10,921"
ME,0,0,0,87,0,39,0,0,0,0,126
MI,420,65,142,0,4,46,0,15,760,"13,102","14,554"
MN,2,0,74,0,308,376,31,34,0,956,"1,781"
MO,409,208,247,9,329,24,0,96,20,246,"1,588"
MS,22,0,1,0,0,0,0,0,17,0,40
MT,425,0,0,3,0,0,0,0,0,67,495
NC,47,27,14,0,46,57,12,0,3,134,340
ND,0,0,0,0,0,0,184,0,0,0,184
NE,0,0,0,0,2,2,0,0,0,0,4
NJ,43,13,272,0,0,550,12,"1,067",378,200,"2,535"
NM,113,15,2,0,0,0,0,17,149,0,296
NV,0,0,0,0,0,7,0,0,0,5,12
NY,"1,388",26,16,23,0,41,0,75,140,63,"1,772"
OH,"1,721",130,58,0,46,647,15,13,14,"1,767","4,411"
OK,32,9,29,0,2,10,24,0,612,46,764
OR,112,0,0,18,0,0,0,0,"2,792",4,"2,926"
PA,"1,571",161,126,127,21,"2,108",296,349,123,"1,745","6,627"
RI,105,0,0,0,0,0,0,0,0,15,120
SC,"2,996",0,0,0,0,0,0,0,0,1,"2,997"
SD,0,0,0,46,0,0,17,0,0,0,63
TN,617,29,15,11,0,0,0,351,129,0,"1,152"
TX,"9,287",46,81,150,146,"4,498",100,9,"1,944",34,"16,295"
UT,24,0,0,51,0,20,23,116,37,0,271
VA,73,3,10,3,451,37,0,33,9,7,626
WA,486,0,56,70,41,303,3,67,"3,951",312,"5,289"
WI,"1,006",54,"3,635",0,230,454,61,94,"1,888",76,"7,498"
WV,"1,813",0,0,0,0,9,15,0,0,0,"1,837"
WY,25,0,0,0,0,0,50,0,0,0,75
