State,All_Other_Covered_Species,Hamsters,Rabbits,Guinea_Pigs,Pig,Sheep,Dogs,Nonhuman_Primates,Cats,Other_Farm_Animals,Total
AL,60,12,274,0,0,0,0,0,0,0,346
CA,325,109,"1,058",558,0,0,0,0,0,0,"2,050"
CO,195,74,2,226,12,21,0,0,0,0,530
CT,3,477,2,0,0,0,10,26,0,0,518
DC,0,0,0,274,0,0,0,0,0,0,274
FL,177,0,0,418,11,0,6,0,0,0,612
GA,174,"1,869","2,720",0,0,0,23,0,4,0,"4,790"
HI,0,77,0,0,0,0,0,0,0,0,77
IA,0,"4,997",4,80,0,6,0,0,0,0,"5,087"
IL,384,45,3,3,255,0,8,19,0,0,717
IN,25,"3,393",0,84,0,0,0,0,0,0,"3,502"
MA,185,261,122,"3,611",146,0,0,50,0,0,"4,375"
MD,177,414,185,"1,701",230,0,9,422,0,0,"3,138"
MI,12,0,0,"10,673",17,37,0,11,2,0,"10,752"
MN,11,0,3,217,1,2,0,0,0,0,234
MO,41,"15,034",20,"1,021",0,0,256,0,0,0,"16,372"
MS,15,0,0,0,0,0,0,0,0,0,15
NC,64,0,0,328,0,0,18,12,0,0,422
NE,0,0,0,0,0,16,0,0,0,0,16
NJ,0,"5,392",576,"2,941",6,0,144,26,0,107,"9,192"
NM,40,0,0,210,12,0,150,0,0,0,412
NY,251,1,90,773,30,6,104,31,0,2,"1,288"
OH,57,106,84,766,14,0,0,342,14,0,"1,383"
OK,67,0,387,0,0,0,0,0,0,0,454
OR,4,0,0,0,0,0,0,0,0,0,4
PA,0,0,72,71,"1,274",0,0,18,0,0,"1,435"
SC,0,52,0,0,0,0,0,0,0,0,52
SD,46,0,0,60,121,0,0,0,0,0,227
TN,305,12,0,6,45,0,0,0,0,0,368
TX,282,426,169,491,0,5,0,315,0,0,"1,688"
UT,0,529,0,54,0,0,0,0,0,0,583
VA,0,0,0,0,0,0,11,0,0,0,11
WA,10,0,0,0,0,0,0,0,0,0,10
WI,436,0,0,0,0,0,0,0,0,0,436
