State,All_Other_Covered_Species,Cats,Dogs,Hamsters,Nonhuman_Primates,Pig,Rabbits,Sheep,Other_Farm_Animals,Guinea_Pigs,Total
AK,211,0,0,0,0,0,0,0,0,0,211
AL,377,177,438,175,76,304,376,28,0,0,"1,951"
AR,41,6,73,0,14,"1,991",44,0,2,0,"2,171"
AZ,42,164,288,35,29,269,74,168,58,19,"1,146"
CA,"6,036",328,"1,172","1,204","2,092","5,932","7,230","1,041",83,"2,895","28,013"
CO,350,102,232,96,0,331,455,303,180,660,"2,709"
CT,743,0,79,10,110,199,58,1,0,38,"1,238"
DC,"3,567",7,13,54,73,305,265,0,0,24,"4,308"
DE,3,9,13,0,0,0,"1,010",0,11,36,"1,082"
FL,"1,619",349,469,89,160,"1,110",149,120,5,168,"4,238"
GA,"1,998",233,169,786,"2,051",656,377,70,25,681,"7,046"
HI,0,53,49,0,0,11,0,0,0,0,113
IA,149,141,265,287,0,820,978,67,108,204,"3,019"
ID,114,31,40,0,0,0,1,0,5,5,196
IL,304,261,543,"1,405",292,906,790,56,88,329,"4,974"
IN,"1,426",116,217,82,30,496,88,190,56,94,"2,795"
KS,185,44,129,20,64,126,39,0,32,943,"1,582"
KY,239,165,263,0,97,146,197,51,49,51,"1,258"
LA,129,72,433,0,"1,105",102,81,0,199,39,"2,160"
MA,"1,549",49,590,714,"1,688","2,004","4,960",283,295,"5,025","17,157"
MD,"5,189",29,216,"2,825","4,189","1,452","2,182",34,26,"3,981","20,123"
ME,0,0,0,0,0,0,0,0,1,0,1
MI,302,148,"1,376",74,"1,876","1,019","1,633",197,2,324,"6,951"
MN,266,130,988,408,107,"3,424","1,446",725,164,381,"8,039"
MO,419,183,684,"1,503",138,"1,723","2,871",109,39,"7,729","15,398"
MS,122,12,47,7,113,302,107,4,51,41,806
MT,0,0,0,0,17,0,0,0,49,0,66
NC,"1,254",753,"1,077",626,"1,216","1,728","1,384",186,"5,237",346,"13,807"
ND,0,56,34,0,0,18,0,0,19,0,127
NE,0,59,57,219,55,142,66,0,0,15,613
NH,215,3,0,0,4,45,11,4,0,0,282
NJ,892,188,"1,069","3,158",982,407,"6,126",43,6,"2,249","15,120"
NM,148,2,31,103,368,178,30,0,0,8,868
NV,104,45,375,0,0,99,10,0,113,0,746
NY,"1,975",259,644,592,585,"1,206","1,398",198,177,438,"7,472"
OH,"2,422",521,"1,242",735,200,"2,203","2,428",230,187,"1,301","11,469"
OK,143,52,205,0,133,18,124,67,136,96,974
OR,51,37,73,42,"2,101",179,211,177,38,353,"3,262"
PA,565,494,"1,089",308,918,937,"5,216",369,148,606,"10,650"
PR,36,0,0,36,132,22,18,0,0,0,244
RI,27,1,5,125,32,56,5,0,0,1,252
SC,5,157,239,0,312,208,115,0,0,24,"1,060"
SD,90,0,0,0,0,27,26,74,16,0,233
TN,676,159,451,324,284,"1,021",245,0,104,28,"3,292"
TX,"3,206",80,407,"1,412","1,818","2,407","4,744",496,"1,184",194,"15,948"
UT,0,4,80,70,12,116,833,196,44,0,"1,355"
VA,49,77,176,0,59,"1,521",251,67,110,61,"2,371"
VT,21,21,46,0,0,13,4,"1,974",18,0,"2,097"
WA,822,50,494,683,"1,070",588,291,14,117,86,"4,215"
WI,"1,052",255,"1,653",684,"2,570",743,"2,199",100,45,975,"10,276"
WV,"1,956",54,87,0,0,0,131,126,0,0,"2,354"
WY,12,0,0,0,0,0,0,32,0,0,44
