Cats,Dogs,Guinea Pigs,Hamsters,MarineMammals,NonhumanPrimates,Other FarmAnimals,Pig,Rabbits,Sheep,Total,State,Unnamed: 12,Year,date_year
202.0,41,8,183,0.0,0,0,0,0,0,1415,AK,,2008,2008-01-01
281.0,1692,174,216,0.0,"1,338",1155,897,1046,59,8400,AL,,2008,2008-01-01
97.0,289,244,17,0.0,135,103,238,721,0,1893,AR,,2008,2008-01-01
257.0,553,207,17,0.0,46,52,498,334,40,4619,AZ,,2008,2008-01-01
1567.0,2899,25119,6253,0.0,"3,710",7320,4167,47941,1650,111176,CA,,2008,2008-01-01
371.0,546,4402,1926,0.0,0,228,743,469,658,11013,CO,,2008,2008-01-01
32.0,434,511,493,0.0,292,0,615,344,5,4056,CT,,2008,2008-01-01
70.0,24,384,373,0.0,269,33,1090,148,23,14355,DC,,2008,2008-01-01
328.0,307,4083,570,0.0,0,385,70,17285,477,23663,DE,,2008,2008-01-01
354.0,332,504,496,0.0,481,774,972,460,194,7581,FL,,2008,2008-01-01
792.0,1835,904,9523,0.0,"2,888",201,1228,4099,85,31636,GA,,2008,2008-01-01
2.0,0,24,23,0.0,1,0,67,14,0,137,HI,,2008,2008-01-01
1916.0,1828,5370,38016,0.0,36,1680,1259,4342,571,56894,IA,,2008,2008-01-01
8.0,27,0,0,0.0,0,48,1,34,31,430,ID,,2008,2008-01-01
987.0,2727,2583,2548,0.0,723,967,1841,5300,1225,22523,IL,,2008,2008-01-01
157.0,1586,1175,1525,0.0,456,219,1088,2015,61,10730,IN,,2008,2008-01-01
573.0,1302,652,671,0.0,247,105,132,649,170,4798,KS,,2008,2008-01-01
49.0,149,333,404,0.0,114,52,404,868,38,2427,KY,,2008,2008-01-01
200.0,514,7,285,0.0,"2,672",247,233,706,0,5861,LA,,2008,2008-01-01
107.0,3936,22384,8453,0.0,"7,188",325,5507,15148,878,68973,MA,,2008,2008-01-01
108.0,1035,18872,7490,0.0,"7,001",570,1898,5769,417,51144,MD,,2008,2008-01-01
0.0,0,0,0,0.0,0,383,35,199,2,1177,ME,,2008,2008-01-01
456.0,8168,12716,909,0.0,"4,743",406,2528,6437,569,39799,MI,,2008,2008-01-01
1434.0,2885,17683,416,0.0,326,1016,4255,6890,982,38107,MN,,2008,2008-01-01
1433.0,2074,4677,8554,0.0,208,354,1999,3356,125,23321,MO,,2008,2008-01-01
7.0,67,42,12,0.0,67,37,123,890,0,1251,MS,,2008,2008-01-01
5.0,0,22,407,0.0,5,79,0,557,45,1160,MT,,2008,2008-01-01
1197.0,1912,8570,695,0.0,"1,665",4561,2981,3407,414,26445,NC,,2008,2008-01-01
163.0,31,2,2,0.0,0,108,20,1431,368,2166,ND,,2008,2008-01-01
472.0,1010,1412,7688,0.0,70,239,303,1144,20,14387,NE,,2008,2008-01-01
11.0,0,13,183,0.0,12,0,206,2,41,661,NH,,2008,2008-01-01
148.0,5791,27524,2629,0.0,"3,951",20,1120,11050,21,55718,NJ,,2008,2008-01-01
59.0,232,98,24,0.0,432,0,21,402,0,1656,NM,,2008,2008-01-01
2.0,68,97,0,0.0,0,134,7,70,110,1434,NV,,2008,2008-01-01
2077.0,4292,14234,36283,0.0,"1,352",610,1693,12545,370,79573,NY,,2008,2008-01-01
931.0,4651,17976,3604,0.0,"2,102",386,5037,13028,185,53690,OH,,2008,2008-01-01
99.0,792,449,25,0.0,83,114,29,425,52,2682,OK,,2008,2008-01-01
24.0,56,887,71,0.0,"2,584",177,759,378,213,6287,OR,,2008,2008-01-01
1819.0,5798,13424,1889,0.0,"4,258",1618,2582,37798,782,73227,PA,,2008,2008-01-01
0.0,0,0,92,0.0,"3,056",0,51,3,0,3202,PR,,2008,2008-01-01
21.0,0,282,265,0.0,30,222,258,739,113,2483,RI,,2008,2008-01-01
236.0,314,279,149,0.0,32,55,289,366,11,2303,SC,,2008,2008-01-01
18.0,13,4,85,0.0,52,672,142,105,76,1317,SD,,2008,2008-01-01
165.0,535,278,1232,0.0,266,301,1178,365,11,6193,TN,,2008,2008-01-01
423.0,1233,10966,2863,0.0,"5,279",3782,3050,16987,741,56580,TX,,2008,2008-01-01
101.0,295,922,3952,0.0,5,24,261,992,246,7590,UT,,2008,2008-01-01
66.0,341,403,322,0.0,167,108,5254,857,21,9990,VA,,2008,2008-01-01
20.0,19,399,0,0.0,0,4,22,120,1528,2187,VT,,2008,2008-01-01
177.0,899,4148,352,0.0,"3,939",192,453,1311,19,12350,WA,,2008,2008-01-01
238.0,6724,2179,1385,0.0,"8,969",274,1157,5055,305,28235,WI,,2008,2008-01-01
36.0,16,0,25,0.0,6,0,0,195,108,416,WV,,2008,2008-01-01
9.0,33,3,12,0.0,0,31,2,12,226,487,WY,,2008,2008-01-01
0.0,0,0,42,0.0,0,0,0,0,0,417,AK,,2009,2009-01-01
216.0,1742,64,255,0.0,585,1384,620,1247,27,8272,AL,,2009,2009-01-01
80.0,287,180,0,0.0,99,27,196,449,0,1435,AR,,2009,2009-01-01
90.0,551,177,0,0.0,36,60,491,290,48,4960,AZ,,2009,2009-01-01
1580.0,2441,19505,7378,0.0,"3,936",7791,3540,42031,1314,113683,CA,,2009,2009-01-01
275.0,544,4036,1106,0.0,92,242,727,490,782,9503,CO,,2009,2009-01-01
18.0,483,500,673,0.0,342,0,638,669,2,5339,CT,,2009,2009-01-01
52.0,18,539,140,0.0,316,0,653,305,9,2178,DC,,2009,2009-01-01
266.0,357,1609,677,0.0,0,340,25,13365,24,16809,DE,,2009,2009-01-01
463.0,936,329,832,0.0,567,718,1272,777,250,9030,FL,,2009,2009-01-01
665.0,1770,914,11194,0.0,"3,021",1086,1457,4423,247,32836,GA,,2009,2009-01-01
1.0,0,0,0,0.0,0,0,71,14,0,232,HI,,2009,2009-01-01
1186.0,2314,4625,37019,0.0,54,1516,4011,3523,570,56054,IA,,2009,2009-01-01
12.0,17,48,0,0.0,0,57,1,36,146,361,ID,,2009,2009-01-01
1010.0,2858,2260,2626,0.0,683,1074,1778,5074,643,21630,IL,,2009,2009-01-01
217.0,1104,791,2159,0.0,160,229,708,1302,105,13497,IN,,2009,2009-01-01
547.0,1354,789,492,0.0,304,251,112,534,110,6584,KS,,2009,2009-01-01
125.0,219,188,507,0.0,112,103,167,601,48,2147,KY,,2009,2009-01-01
233.0,474,2,229,0.0,"3,105",70,280,606,32,6144,LA,,2009,2009-01-01
115.0,2963,15623,7315,0.0,"6,453",1750,4966,13215,841,58438,MA,,2009,2009-01-01
68.0,506,17093,5416,0.0,"7,056",660,1816,5281,464,48820,MD,,2009,2009-01-01
0.0,0,0,0,0.0,0,396,23,180,1,1530,ME,,2009,2009-01-01
602.0,6354,15710,775,0.0,"4,149",439,3054,7300,677,44132,MI,,2009,2009-01-01
1937.0,3269,17924,557,0.0,242,1322,4751,6401,1260,40023,MN,,2009,2009-01-01
1643.0,2433,3977,8263,0.0,179,472,2183,2402,152,22674,MO,,2009,2009-01-01
5.0,60,68,71,0.0,88,77,180,1240,0,1952,MS,,2009,2009-01-01
4.0,0,60,399,0.0,5,118,0,371,49,1154,MT,,2009,2009-01-01
1164.0,1771,7951,735,0.0,"1,848",882,2871,3208,242,26075,NC,,2009,2009-01-01
152.0,24,3,4,0.0,0,112,20,1159,134,1772,ND,,2009,2009-01-01
272.0,728,277,4524,0.0,99,126,231,383,10,7690,NE,,2009,2009-01-01
5.0,0,1,530,0.0,13,0,300,1,2,874,NH,,2009,2009-01-01
213.0,6205,23332,8523,0.0,"4,702",22,1020,11824,28,59352,NJ,,2009,2009-01-01
58.0,364,185,30,0.0,506,0,0,298,0,2020,NM,,2009,2009-01-01
11.0,395,84,0,0.0,0,0,3,77,117,1427,NV,,2009,2009-01-01
