"","ALL OTHERCOVEREDSPECIE",CATS,DOGS,"GUINEAPIGS",HAMSTERS,"NONHUMANPRIMATES",PIG,RABBITS,SHEEP,"OTHERFARMANIMALS",Total,
AK,158,0,0,0,21,0,0,0,0,0,179,
AL,182,86,114,0,0,0,528,249,7,72,"1,238",
AR,0,35,38,23,1,64,0,0,0,0,161,
AZ,0,14,42,14,0,9,20,0,5,0,104,
CA,"1,310",323,110,216,323,"3,575",83,"3,316",182,"2,510","11,948",
CO,285,5,28,25,17,0,10,13,3,7,393,
CT,185,2,52,2,67,27,2,7,1,5,350,
DC,560,11,0,0,0,373,0,2,0,0,946,
DE,13,0,0,14,0,0,0,"4,069",0,45,"4,141",
FL,"1,247",25,4,0,15,"7,142",0,0,4,0,"8,437",
GA,636,16,12,0,"1,423","1,702",0,5,0,0,"3,794",
HI,0,0,0,0,0,0,6,0,0,0,6,
IA,261,4,150,260,11,5,"2,556",107,34,49,"3,437",
ID,0,0,0,0,0,0,0,0,0,43,43,
IL,535,12,154,183,6,88,7,277,10,7,"1,279",
IN,122,188,394,21,119,8,542,142,0,0,"1,536",
KS,0,4,141,23,61,19,0,9,0,55,312,
KY,121,30,0,0,0,4,79,3,45,180,462,
LA,172,1,0,0,0,"9,727",2,10,0,0,"9,912",
MA,"1,102",1,47,450,916,"1,570",741,"1,242",24,75,"6,168",
MD,"5,683",0,5,906,"3,274","5,906",1,61,34,42,"15,912",
ME,0,0,0,0,0,0,0,66,0,91,157,
MI,6,57,509,"11,446",0,214,50,277,5,0,"12,564",
MN,6,2,125,311,56,8,186,184,87,139,"1,104",
MO,149,233,333,139,0,25,192,0,0,0,"1,071",
MS,117,7,1,0,0,14,0,1,0,6,146,
MT,38,0,0,0,159,0,0,0,35,0,232,
NC,255,18,70,"1,247",0,15,3,28,0,2,"1,638",
ND,0,0,0,0,0,0,0,0,129,0,129,
NE,109,0,1,0,113,0,0,0,0,0,223,
NH,0,0,0,0,0,0,0,0,0,0,0,
NJ,0,51,495,335,733,"1,023",11,284,0,0,"2,932",
NM,416,2,27,0,122,793,0,3,0,0,"1,363",
NV,0,0,0,0,0,0,0,0,0,0,0,
NY,445,42,57,276,"1,210",204,140,367,31,26,"2,798",
OH,428,161,114,764,22,62,11,149,7,2,"1,720",
OK,279,0,2,0,8,508,0,25,21,98,941,
OR,116,0,0,0,0,"1,915",4,0,0,0,"2,035",
PA,657,86,220,407,429,138,59,"1,061",171,231,"3,459",
PR,0,0,0,0,0,0,0,0,0,0,0,
RI,98,0,0,0,194,8,0,2,0,14,316,
SC,"7,905",0,4,8,45,"3,751",0,2,0,0,"11,715",
SD,0,0,0,0,19,2,0,0,163,370,554,
TN,225,5,1,0,684,0,0,0,0,2,917,
TX,"2,671",23,182,231,109,"2,312",333,"1,671",332,942,"8,806",
UT,2,0,0,0,0,0,5,0,15,0,22,
VA,201,0,20,3,26,5,133,30,10,0,428,
VT,0,0,0,0,0,0,0,0,0,0,0,
WA,180,0,16,127,0,"3,508",1,730,0,66,"4,628",
WI,"2,110",11,"4,218",93,0,"1,969",130,"1,238",10,249,"10,028",
WV,0,0,0,0,0,0,0,0,0,0,0,
WY,105,0,0,0,0,0,0,0,51,0,156,
"REPORTTOTAL","29,090","1,455","7,686","17,524","10,183","46,693","5,835","15,630","1,416","5,328","140,840",
"","ALL OTHERCOVEREDSPECIE",CATS,DOGS,"GUINEAPIGS",HAMSTERS,"NONHUMANPRIMATES",PIG,RABBITS,SHEEP,"OTHERFARMANIMALS",Total,
AK,189,0,0,0,54,0,0,0,0,0,243,
AL,"1,526",5,812,105,0,261,141,507,26,256,"3,639",
AR,73,77,358,35,0,49,29,531,0,4,"1,156",
AZ,"4,265",34,492,12,0,13,0,43,0,27,"4,886",
CA,"26,856",624,"1,139","7,072",889,464,357,"23,095",243,"11,880","72,619",
CO,"1,237",70,359,"1,994",329,0,20,87,19,269,"4,384",
CT,191,0,109,69,738,360,1,614,0,0,"2,082",
DC,"6,009",5,7,122,272,116,3,93,0,0,"6,627",
DE,92,0,0,0,0,0,0,"9,391",20,326,"9,829",
FL,"1,442",214,775,44,126,367,73,279,9,248,"3,577",
GA,"2,905",510,"1,195",403,"4,580",637,9,"1,422",2,174,"11,837",
HI,6,0,0,0,0,0,0,0,0,0,6,
IA,828,119,310,"1,175","9,845",12,860,60,431,765,"14,405",
ID,9,13,1,13,0,0,2,29,100,217,384,
IL,"2,489",770,"1,907","1,357",3,215,826,"1,541",210,270,"9,588",
IN,"1,299",295,643,7,288,66,294,822,83,117,"3,914",
KS,"1,773",684,"1,118",123,14,133,44,58,80,137,"4,164",
KY,110,56,38,8,0,0,0,2,0,28,242,
LA,356,5,20,0,0,"1,563",0,54,0,55,"2,053",
MA,"4,371",3,819,"14,323","2,841","5,186","2,389","8,219",134,664,"38,949",
MD,"3,028",1,210,"3,745","1,690","3,502",129,"2,063",30,90,"14,488",
ME,"1,631",0,0,0,0,0,0,166,1,355,"2,153",
MI,"3,553",224,"4,104","8,044",616,"1,893",772,"4,355",256,611,"24,428",
MN,967,"1,848","1,791","23,152",128,22,732,"4,036",861,"1,743","35,280",
MO,"2,725","1,647","1,640","2,983","2,518",28,"1,262",396,96,407,"13,702",
MS,16,0,0,147,4,16,0,47,3,1,234,
MT,63,0,0,0,496,0,0,163,0,95,817,
NC,365,251,"1,463","6,893","1,449",128,272,"2,148",42,136,"13,147",
ND,293,0,0,1,4,0,36,54,82,180,650,
NE,876,25,35,60,181,66,12,4,10,0,"1,269",
NH,13,0,0,0,0,0,0,0,0,0,13,
NJ,23,399,"3,804","10,048","4,245","3,206",97,"5,426",0,0,"27,248",
NM,105,58,91,0,64,29,0,0,0,0,347,
NV,904,22,93,63,0,0,0,15,69,131,"1,297",
NY,"6,616",888,"1,946","9,216","25,547","1,156",62,"1,536",116,461,"47,544",
OH,338,909,"3,796","26,295",549,"1,275",136,"9,647",39,18,"43,002",
OK,"1,610",44,448,339,8,0,1,411,58,588,"3,507",
OR,"1,564",51,198,15,5,"1,186",14,0,80,367,"3,480",
PA,"1,829","1,636","2,890","2,160",519,"1,321","2,252","16,124",122,"1,038","29,891",
PR,0,0,0,0,0,"3,589",0,0,0,0,"3,589",
RI,690,0,0,0,4,3,1,0,0,0,698,
SC,"1,730",41,85,301,40,47,0,163,0,57,"2,464",
SD,331,16,9,2,23,4,0,4,35,205,629,
